ID,HouseIDREF,Name,TypeIDREF
0,2000989,"Chest freezer (Garage, 175l)",5
1,2000989,Clothes drier (with condenser) (),11
2,2000989,Dish washer (12 place setting),8
3,2000989,"Microwave oven (1,65kW)",7
4,2000989,"Site consumption (Garage, 200l)",2
5,2000989,TV (72cm),1
6,2000989,TV (36cm),1
7,2000989,Washing machine (),1
0,2000946,"Chest freezer (Garage, 264l)",5
1,2000946,Clothes drier (without condenser) (),11
2,2000946,Dish washer (12 place setting),8
3,2000946,Electric oven (),7
4,2000946,Halogen lamp 1 (),2
5,2000946,Hot plate (),1
6,2000946,Microwave oven (),1
7,2000946,Site consumption (),1
8,2000946,Total site light consumption (),1
9,2000946,Washing machine (),1
0,2000992,"Aquarium (28âˆžC, 400l)",5
1,2000992,Chest freezer (200l),11
2,2000992,Clothes drier (with condenser) (),8
3,2000992,"Fridge (Kitchen, 255l)",7
4,2000992,Microwave oven (),2
5,2000992,Site consumption (),1
6,2000992,TV (55cm),1
0,2000947,Clothes drier (without condenser) (),5
1,2000947,"Dish washer (12 place setting, 3,3kW)",11
2,2000947,Electric oven (),8
3,2000947,Fridge (386l),7
4,2000947,Hot plate (),2
5,2000947,Microwave oven (),1
6,2000947,Site consumption (),1
7,2000947,TV (51cm),1
8,2000947,TV (36cm),1
9,2000947,TV (36cm),1
10,2000947,Vertical freezer (Kitchen),1
11,2000947,Washing machine (),0
0,2000988,"Fridge (Kitchen, 200l)",5
1,2000988,"Halogen lamp 1 (0,1kW)",11
2,2000988,"Microwave oven (1,3kW)",8
3,2000988,Non halogen lamp 1 (),7
4,2000988,Non halogen lamp 2 (),2
5,2000988,Non halogen lamp 3 (),1
6,2000988,Site consumption (),1
7,2000988,Total site light consumption (),1
8,2000988,TV (55cm),1
9,2000988,"Vertical freezer (Kitchen, 247l)",1
10,2000988,Washing machine (),1
0,2000967,Electric heating (altogether) (),5
1,2000967,Fridge freezer (320l/85l),11
2,2000967,Halogen lamp 1 (),8
3,2000967,Halogen lamp 2 (),7
4,2000967,Hot plate (ceramic hobs),2
5,2000967,"Microwave oven (1,25kW)",1
6,2000967,"Microwave oven (1,7kW)",1
7,2000967,Non halogen lamp 1 (),1
8,2000967,Site consumption (),1
9,2000967,Total site light consumption (),1
10,2000967,TV (33cm),1
11,2000967,Washing machine (),0
12,2000967,Water heater (),1
0,2000930,Clothes drier (without condenser) (),5
1,2000930,Dish washer (12 place setting),11
2,2000930,"Fridge freezer (Kitchen, 276l/53l)",8
3,2000930,Site consumption (),7
4,2000930,TV (71cm),2
5,2000930,TV (36cm),1
6,2000930,Vertical freezer (Garage),1
7,2000930,Washing machine (),1
0,2000995,"Chest freezer (Garage, 405l)",5
1,2000995,"Fridge freezer (Kitchen, 187l/48l)",11
2,2000995,"Microwave oven (1,2kW)",8
3,2000995,Non halogen lamp 1 (),7
4,2000995,Non halogen lamp 2 (),2
5,2000995,Non halogen lamp 3 (),1
6,2000995,Site consumption (),1
7,2000995,Total site light consumption (),1
8,2000995,TV (65cm),1
9,2000995,TV (24cm),1
10,2000995,Washing machine (),1
0,2000937,"Chest freezer (Cellar, 610l)",5
1,2000937,Dish washer (12 place setting),11
2,2000937,Electric oven (),8
3,2000937,"Halogen lamp 1 (0,5kW)",7
4,2000937,Microwave oven (),2
5,2000937,TV (),1
6,2000937,TV (),1
7,2000937,TV (),1
8,2000937,Washing machine (),1
0,2000936,Clothes drier (without condenser) (),5
1,2000936,Dish washer (12 place setting),11
2,2000936,Electric heating (altogether) (),8
3,2000936,"Fridge (Kitchen, 217l)",7
4,2000936,Site consumption (),2
5,2000936,Total site light consumption (),1
6,2000936,TV (55cm),1
7,2000936,TV (36cm),1
8,2000936,"Vertical freezer (Garage, 125l)",1
9,2000936,Washing machine (),1
10,2000936,Water heater (),1
0,2000994,"Fridge freezer (Kitchen, 192l/45l)",5
1,2000994,"Microwave oven (1,25kW)",11
2,2000994,Site consumption (),8
3,2000994,TV (50cm),7
4,2000994,TV (),2
5,2000994,"Vertical freezer (Kitchen, 210l)",1
6,2000994,Washing machine (),1
0,2000941,Chest freezer (Kitchen),5
1,2000941,Dish washer (12 place setting),11
2,2000941,Electric Cooker (hot plate+oven) (),8
3,2000941,Fridge (Kitchen),7
4,2000941,"Fridge (Living room, 94l)",2
5,2000941,Microwave oven (),1
6,2000941,Site consumption (),1
7,2000941,Total site light consumption (),1
8,2000941,TV (51cm),1
9,2000941,Washing machine (),1
0,2000916,"Chest freezer (Garage, 300l)",5
1,2000916,Dish washer (12 place setting),11
2,2000916,"Electric oven (Pyrolysis, 3,1kW)",8
3,2000916,Hot plate (),7
4,2000916,"Microwave oven (1,6kW)",2
5,2000916,Site consumption (),1
6,2000916,Total site light consumption (),1
7,2000916,TV (70cm),1
8,2000916,TV (36cm),1
9,2000916,TV (36cm),1
10,2000916,Washing machine (),1
0,2000997,Dish washer (12 place setting),5
1,2000997,Electric oven (),11
2,2000997,"Fridge freezer (Garage, 197l/53l)",8
3,2000997,Microwave oven (),7
4,2000997,Non halogen lamp 1 (),2
5,2000997,Site consumption (),1
6,2000997,Total site light consumption (),1
7,2000997,TV (65cm),1
8,2000997,TV (36cm),1
9,2000997,"Vertical freezer (Garage, 213l)",1
10,2000997,Washing machine (),1
0,2000939,"Clothes drier (without condenser) (1,8kW)",5
1,2000939,Dish washer (12 place setting),11
2,2000939,Electric oven (),8
3,2000939,"Fridge freezer (Kitchen, 270l/50l)",7
4,2000939,"Fridge (Garage, 140l)",2
5,2000939,Halogen lamp 1 (),1
6,2000939,Microwave oven (),1
7,2000939,Microwave oven (),1
8,2000939,Site consumption (),1
9,2000939,"Vertical freezer (Garage, 335l)",1
10,2000939,Washing machine (),1
0,2000974,Dish washer (12 place setting),5
1,2000974,Electric heating (altogether) (),11
2,2000974,Electric oven (),8
3,2000974,"Fridge freezer (Kitchen, 233l/122l)",7
4,2000974,Halogen lamp 1 (),2
5,2000974,Halogen lamp 2 (),1
6,2000974,Halogen lamp 3 (),1
7,2000974,Halogen lamp 4 (),1
8,2000974,Hot plate (),1
9,2000974,Site consumption (),1
10,2000974,TV (70cm),1
11,2000974,TV (35cm),0
12,2000974,TV (),1
13,2000974,Washing machine+clothes drier (),1
14,2000974,Water heater (),1
0,2000935,Electric oven (),5
1,2000935,"Fridge freezer (Kitchen, 270l/50l)",11
2,2000935,Non halogen lamp 1 (),8
3,2000935,Non halogen lamp 2 (),7
4,2000935,Non halogen lamp 3 (),2
5,2000935,Site consumption (),1
6,2000935,Total site light consumption (),1
7,2000935,TV (36cm),1
8,2000935,TV (36cm),1
9,2000935,TV (51cm),1
10,2000935,Washing machine (),1
0,2000958,"Fridge freezer (Kitchen, 255l/75l)",5
1,2000958,"Microwave oven (1,3kW)",11
2,2000958,Site consumption (),8
3,2000958,TV (63cm),7
4,2000958,TV (36cm),2
5,2000958,Washing machine (),1
0,2000959,Clothes drier (without condenser) (),5
1,2000959,Electric heating (altogether) (),11
2,2000959,"Fridge freezer (Garage, 230l/45l)",8
3,2000959,"Microwave oven (0,9kW)",7
4,2000959,Site consumption (),2
5,2000959,Total site light consumption (),1
6,2000959,TV (60cm),1
7,2000959,Washing machine (),1
8,2000959,Water heater (),1
0,2000934,Clothes drier (without condenser) (),5
1,2000934,Electric heating (altogether) (),11
2,2000934,Halogen lamp 1 (),8
3,2000934,Microwave oven (),7
4,2000934,Site consumption (),2
5,2000934,Total site light consumption (),1
6,2000934,TV (),1
7,2000934,TV (),1
8,2000934,Vertical freezer (),1
9,2000934,Washing machine (),1
10,2000934,Water heater (),1
0,2000955,Electric oven (),5
1,2000955,"Fridge freezer (Kitchen, 184l/64l)",11
2,2000955,Site consumption (),8
3,2000955,TV (36cm),7
4,2000955,Washing machine (),2
5,2000955,Water heater (),1
0,2000914,"Clothes drier (without condenser) (2,5kW)",5
1,2000914,Dish washer (12 place setting),11
2,2000914,"Electric Cooker (hot plate+oven) (5,1kW)",8
3,2000914,Electric heating (altogether) (),7
4,2000914,"Fridge (Kitchen, 300l)",2
5,2000914,Halogen lamp 1 (),1
6,2000914,"Microwave oven (1,2kW)",1
7,2000914,Site consumption (),1
8,2000914,Total site light consumption (),1
9,2000914,TV (67cm),1
10,2000914,TV (51cm),1
11,2000914,"Vertical freezer (Storeroom, 280l)",0
12,2000914,"Washing machine (2,2kW)",1
13,2000914,Water heater (),1
0,2000943,Clothes drier (without condenser) (),5
1,2000943,Dish washer (12 place setting),11
2,2000943,Electric oven (),8
3,2000943,"Fridge (Kitchen, 231l)",7
4,2000943,"Fridge (Kitchen, 110l)",2
5,2000943,Halogen lamp 1 (),1
6,2000943,Microwave oven (),1
7,2000943,Power supply for fuel boiler (),1
8,2000943,Site consumption (),1
9,2000943,"Vertical freezer (Garage, 208l)",1
10,2000943,Washing machine (),1
0,2000938,"Chest freezer (Garage, 506l)",5
1,2000938,"Clothes drier (with condenser) (2,55kW)",11
2,2000938,"Dish washer (12 place setting, 3,1kW)",8
3,2000938,Electric Cooker (hot plate+oven) (6kW),7
4,2000938,Electric heating (altogether) (),2
5,2000938,Fridge (220l),1
6,2000938,Site consumption (),1
7,2000938,Total site light consumption (),1
8,2000938,TV (60cm),1
9,2000938,TV (60cm),1
10,2000938,Washing machine (),1
11,2000938,Water heater (),0
0,2000980,Dish washer (12 place setting),5
1,2000980,Electric oven (),11
2,2000980,"Fridge freezer (Kitchen, 382l/86l)",8
3,2000980,Halogen lamp 1 (),7
4,2000980,Halogen lamp 2 (),2
5,2000980,Hot plate (),1
6,2000980,Microwave oven (),1
7,2000980,Site consumption (),1
8,2000980,Total site light consumption (),1
9,2000980,TV (33cm),1
10,2000980,TV (),1
11,2000980,Washing machine (),0
0,2000996,Chest freezer (),5
1,2000996,Clothes drier (without condenser) (),11
2,2000996,Dish washer (12 place setting),8
3,2000996,Electric deep frier (),7
4,2000996,Electric oven (),2
5,2000996,"Fridge freezer (Kitchen, 100l/30l)",1
6,2000996,"Fridge (Veranda, 114l)",1
7,2000996,"Microwave oven (1,25kW)",1
8,2000996,Site consumption (),1
9,2000996,TV (70cm),1
10,2000996,TV (36cm),1
11,2000996,TV (66cm),0
12,2000996,Washing machine (),1
0,2000933,Dish washer (12 place setting),5
1,2000933,Electric Cooker (hot plate+oven) (),11
2,2000933,"Fridge freezer (Kitchen, 180l/46l)",8
3,2000933,"Microwave oven (0,75kW)",7
4,2000933,TV (51cm),2
5,2000933,Washing machine (),1
0,2000987,Aquarium (60l),5
1,2000987,"Chest freezer (Garage, 400l)",11
2,2000987,Clothes drier (without condenser) (),8
3,2000987,Electric Cooker (hot plate+oven) (),7
4,2000987,"Fridge freezer (Kitchen, 190l/120l)",2
5,2000987,Microwave oven (),1
6,2000987,Site consumption (),1
7,2000987,TV (50cm),1
8,2000987,TV (47cm),1
9,2000987,Washing machine (),1
10,2000987,Water heater (200l),1
0,2000952,"Chest freezer (Garage, 400l)",5
1,2000952,Clothes drier (without condenser) (),11
2,2000952,Dish washer (12 place setting),8
3,2000952,Electric oven (),7
4,2000952,"Microwave oven (1,5kW)",2
5,2000952,Power supply for fuel boiler (),1
6,2000952,Site consumption (),1
7,2000952,TV (70cm),1
8,2000952,TV (55cm),1
9,2000952,TV (36cm),1
10,2000952,Washing machine (),1
0,2000986,Aquarium (),5
1,2000986,"Chest freezer (Kitchen, 182l)",11
2,2000986,Electric Cooker (hot plate+oven) (),8
3,2000986,"Fridge freezer (Kitchen, 250l/60l)",7
4,2000986,Microwave oven (),2
5,2000986,"Microwave oven (1,1kW)",1
6,2000986,Site consumption (),1
7,2000986,TV (55cm),1
8,2000986,Washing machine (),1
0,2000990,Computer site (),5
1,2000990,Electric heating (altogether) (),11
2,2000990,"Fridge (Kitchen, 236l)",8
3,2000990,"Microwave oven (2,75kW)",7
4,2000990,Site consumption (),2
5,2000990,TV (55cm),1
6,2000990,"Vertical freezer (Garage, 291l)",1
7,2000990,Washing machine (),1
8,2000990,Water heater (),1
0,2000949,Dish washer (12 place setting),5
1,2000949,Electric oven (),11
2,2000949,"Fridge freezer (Kitchen, 292l/62l)",8
3,2000949,"Halogen lamp 1 (0,3kW)",7
4,2000949,"Microwave oven (1,1kW)",2
5,2000949,Power supply for gas boiler (),1
6,2000949,Site consumption (),1
7,2000949,TV (),1
8,2000949,"Vertical freezer (Boiler room, 240l)",1
9,2000949,Washing machine (),1
